2025-11-01 23:34:14 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:14 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:14 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:15 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:15 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:16 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:16 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:16 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:17 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:17 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:18 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:18 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:18 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:19 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:19 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:20 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:20 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:20 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:21 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:34:21 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:39 [INFO] configurar_logs: 🟢 Logging configurado correctamente
2025-11-01 23:37:39 [INFO] paezlobato_servidor: Aplicación iniciada
2025-11-01 23:37:40 [INFO] configurar_logs: 🟢 Logging configurado correctamente
2025-11-01 23:37:40 [INFO] paezlobato_servidor: Aplicación iniciada
2025-11-01 23:37:40 [INFO] configurar_logs: 🟢 Logging configurado correctamente
2025-11-01 23:37:40 [INFO] paezlobato_servidor: Aplicación iniciada
2025-11-01 23:37:40 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:40 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:40 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:41 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:41 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:41 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:42 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:42 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:43 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:43 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:43 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:44 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:44 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:45 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:45 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:45 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:46 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:46 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:46 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:47 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:47 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:48 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:48 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:48 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:49 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:49 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:50 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:50 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:50 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:51 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:51 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:52 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:52 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:52 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:53 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:53 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:54 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:54 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:54 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:55 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:55 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:56 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:56 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:56 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:57 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:57 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:58 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:58 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:58 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:59 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:37:59 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:00 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:00 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:00 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:01 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:01 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:02 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:02 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:02 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:03 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:03 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:03 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:04 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:04 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:05 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:05 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:05 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:06 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:06 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:07 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:07 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:07 [INFO] watchfiles.main: 1 change detected
2025-11-01 23:38:08 [INFO] watchfiles.main: 1 change detected
